Episode,MaxEpisodes,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
262,5000,-1760.12,45,-1198.66,17549,-912.89
263,5000,-483.42,93,-1204.56,17642,-219.18
264,5000,-813.33,29,-1120.72,17671,-477.48
265,5000,-422.22,39,-1006.08,17710,-1014.21
266,5000,-1595.23,46,-969.48,17756,-1756.45
267,5000,-1049.81,39,-966.78,17795,-1636.6
268,5000,-593.86,36,-933.62,17831,-1116.67
269,5000,-1640.97,47,-1039.85,17878,-1074.44
270,5000,-1039.56,37,-953.54,17915,-1258.65
271,5000,-1173.73,40,-1057.22,17955,-1381.45
272,5000,-1061.58,102,-987.37,18057,-592.82
273,5000,-919.65,82,-1030.99,18139,-146.46
274,5000,-446.5,42,-994.31,18181,-1016.22
275,5000,-1649.27,49,-1117.01,18230,-753.16
276,5000,-1258.81,79,-1083.37,18309,-603.9
277,5000,-1429.78,46,-1121.37,18355,-1165.56
278,5000,-870.9,37,-1149.07,18392,-1150.84
279,5000,-193.68,57,-1004.34,18449,-158.92
280,5000,-1668.87,45,-1067.28,18494,-955.08
281,5000,-304.65,52,-980.37,18546,-819.24
282,5000,-1700.08,47,-1044.22,18593,-533.71
283,5000,-2190.39,150,-1171.29,18743,-172.23
284,5000,-1249.18,48,-1251.56,18791,-573.1
285,5000,-311.5,33,-1117.79,18824,-598.44
286,5000,-1753.29,47,-1167.23,18871,-1745.88
287,5000,-1305.86,107,-1154.84,18978,-442.61
288,5000,-2126.1,134,-1280.36,19112,-330.45
289,5000,-1814.99,46,-1442.49,19158,-714.3
290,5000,-341.43,38,-1309.75,19196,-723.38
291,5000,-1657.98,45,-1445.08,19241,-1470.36
292,5000,-183.65,27,-1293.44,19268,-378.47
293,5000,-1600.57,38,-1234.46,19306,-2100.06
294,5000,-61.08,20,-1115.65,19326,-177.56
295,5000,-1407.51,50,-1225.25,19376,-1450.28
296,5000,-1099.46,34,-1159.86,19410,-1401.7
297,5000,-124.17,48,-1041.69,19458,-68.3
298,5000,-556.66,55,-884.75,19513,-811.31
299,5000,-1094.02,29,-812.65,19542,-718.05
300,5000,-1606.12,111,-939.12,19653,-523.43
301,5000,-1570.69,41,-930.39,19694,-2576.14
302,5000,-868.93,102,-998.92,19796,-327.53
303,5000,-1673.13,125,-1006.18,19921,-189.5
304,5000,-1570.3,47,-1157.1,19968,-1811.27
305,5000,-957.11,30,-1112.06,19998,-932.77
306,5000,-697.31,45,-1071.84,20043,-490.62
307,5000,-1446.42,105,-1204.07,20148,-631.91
308,5000,-1874.97,78,-1335.9,20226,-634.43
309,5000,-841.76,31,-1310.67,20257,-859.15
310,5000,-414.43,34,-1191.5,20291,-801.23
311,5000,-1143.68,42,-1148.8,20333,-1575.67
312,5000,-1503,44,-1212.21,20377,-658.27
313,5000,-1213.05,34,-1166.2,20411,-1336.97
314,5000,-733.89,33,-1082.56,20444,-681.45
315,5000,-1617.13,44,-1148.56,20488,-2403.24
316,5000,-683.68,37,-1147.2,20525,-710.07
317,5000,-1551.8,37,-1157.74,20562,-2440.73
318,5000,-931.81,38,-1063.42,20600,-1386.99
319,5000,-1642.39,61,-1143.48,20661,-672.54
320,5000,-1185.94,48,-1220.64,20709,-1278.44
321,5000,-2210.26,130,-1327.29,20839,-99.19
322,5000,-638.15,58,-1240.81,20897,-1507.07
323,5000,-1696.65,180,-1289.17,21077,-218.81
324,5000,-2280.38,107,-1443.82,21184,-842.22
325,5000,-1876.51,82,-1469.76,21266,-149.23
326,5000,-177.24,45,-1419.11,21311,-539.87
327,5000,-1074.75,109,-1371.41,21420,-193.31
328,5000,-681.38,28,-1346.37,21448,-630.75
329,5000,-799.33,35,-1262.06,21483,-969.38
330,5000,-472.33,38,-1190.7,21521,-1717.51
331,5000,-502.48,41,-1019.92,21562,-1028.63
332,5000,-841.67,29,-1040.27,21591,-653.18
333,5000,-1237.85,105,-994.39,21696,-502.69
334,5000,-417.75,68,-808.13,21764,-580.27
335,5000,-327.29,41,-653.21,21805,-621.69
336,5000,-1091.51,39,-744.63,21844,-2285.15
337,5000,-1880.61,83,-825.22,21927,-257.94
338,5000,-690.42,37,-826.12,21964,-616.08
339,5000,-1402.59,86,-886.45,22050,-273.86
340,5000,-1557.25,47,-994.94,22097,-1521.31
341,5000,-1380.98,77,-1082.79,22174,-289
342,5000,-950.31,33,-1093.65,22207,-1069.9
343,5000,-1734.47,74,-1143.32,22281,-745.25
344,5000,-1054.84,36,-1207.03,22317,-1169.36
345,5000,-2702.74,78,-1444.57,22395,-163.68
346,5000,-1628.23,47,-1498.24,22442,-869.14
347,5000,-1185.62,31,-1428.75,22473,-814.77
348,5000,-1217.25,51,-1481.43,22524,-941.57
349,5000,-1802.07,48,-1521.38,22572,-696.44
350,5000,-1503.72,47,-1516.02,22619,-451.92
351,5000,-36.33,18,-1381.56,22637,-158.24
352,5000,-551.3,60,-1341.66,22697,-1422
353,5000,-1639.52,45,-1332.16,22742,-768.36
354,5000,-239.46,23,-1250.63,22765,-283.08
355,5000,-1532.41,42,-1133.59,22807,-1874.44
356,5000,-961.26,35,-1066.9,22842,-1367.11
357,5000,-412.01,46,-989.53,22888,-223.32
358,5000,-2185.73,105,-1086.38,22993,-12.01
359,5000,-2737.74,139,-1179.95,23132,-166.94
360,5000,-1685.42,44,-1198.12,23176,-784.19
361,5000,-894.79,26,-1283.97,23202,-562.2
362,5000,-2033.36,107,-1432.17,23309,-396.48
363,5000,-2324.35,85,-1500.65,23394,-395.11
364,5000,-1732.45,70,-1649.95,23464,-598.61
365,5000,-2002.34,131,-1696.95,23595,-378.6
366,5000,-165.05,54,-1617.33,23649,-599.71
367,5000,-805.44,33,-1656.67,23682,-938.72
368,5000,-1633.79,46,-1601.47,23728,-534.68
369,5000,-3075.04,95,-1635.2,23823,-283.66
370,5000,-152.63,32,-1481.92,23855,-300.21
371,5000,-882.63,47,-1480.71,23902,-1812.47
372,5000,-1236.56,50,-1401.03,23952,-1012.87
373,5000,-851.95,38,-1253.79,23990,-653.85
374,5000,-2941.16,74,-1374.66,24064,-562.95
375,5000,-3038.94,72,-1478.32,24136,-100.16
376,5000,-1003.11,91,-1562.12,24227,-714.57
377,5000,-1189.25,47,-1600.51,24274,-1964.94
378,5000,-1553.49,52,-1592.48,24326,-632.32
379,5000,-2498.05,84,-1534.78,24410,-564.63
380,5000,-1121.39,89,-1631.65,24499,-506.78
381,5000,-929.24,27,-1636.31,24526,-532.59
382,5000,-1257.39,42,-1638.4,24568,-2198.12
383,5000,-1500.8,50,-1703.28,24618,-1263.71
384,5000,-493.94,40,-1458.56,24658,-755.04
385,5000,-533.82,47,-1208.05,24705,-417.32
386,5000,-429.01,118,-1150.64,24823,-929.36
387,5000,-1239.81,44,-1155.69,24867,-1049.81
388,5000,-245.37,69,-1024.88,24936,-272.48
389,5000,-363.74,66,-811.45,25002,-370.65
390,5000,-1556.79,84,-854.99,25086,-299.4
