Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260703_230817_td3_mathworks_style_pi_current_1c_500hz_long_detailed\training_console.log
Episode:   1/5000 | Episode reward:   -57.76 | Episode steps:   44 | Average reward:   -57.76 | Step Count:   44 | Episode Q0:    -0.15
Episode: 104/5000 | Episode reward:    21.64 | Episode steps:   49 | Average reward:   -10.69 | Step Count: 5633 | Episode Q0:     0.79
Episode: 105/5000 | Episode reward:    13.51 | Episode steps:   52 | Average reward:    -9.60 | Step Count: 5685 | Episode Q0:     0.79
Episode: 106/5000 | Episode reward:    18.72 | Episode steps:   68 | Average reward:    -7.41 | Step Count: 5753 | Episode Q0:     0.79
Episode: 107/5000 | Episode reward:   -17.10 | Episode steps:   33 | Average reward:    -5.08 | Step Count: 5786 | Episode Q0:     0.79
Episode: 108/5000 | Episode reward:   -59.85 | Episode steps:   53 | Average reward:   -10.21 | Step Count: 5839 | Episode Q0:     0.79
Episode: 109/5000 | Episode reward:     7.56 | Episode steps:   46 | Average reward:   -10.82 | Step Count: 5885 | Episode Q0:     0.79
Episode: 110/5000 | Episode reward:    12.92 | Episode steps:   42 | Average reward:    -0.67 | Step Count: 5927 | Episode Q0:     0.79
Episode: 111/5000 | Episode reward:    -6.55 | Episode steps:   72 | Average reward:    -3.50 | Step Count: 5999 | Episode Q0:     0.79
Episode: 112/5000 | Episode reward:     3.01 | Episode steps:   83 | Average reward:    -0.59 | Step Count: 6082 | Episode Q0:     0.79
Episode: 113/5000 | Episode reward:   -10.11 | Episode steps:   69 | Average reward:    -1.62 | Step Count: 6151 | Episode Q0:     0.79
Episode: 114/5000 | Episode reward:    10.99 | Episode steps:   58 | Average reward:    -2.69 | Step Count: 6209 | Episode Q0:     0.79
Episode: 115/5000 | Episode reward:   -28.86 | Episode steps:   47 | Average reward:    -6.93 | Step Count: 6256 | Episode Q0:     0.79
Episode: 116/5000 | Episode reward:    -0.03 | Episode steps:   43 | Average reward:    -8.80 | Step Count: 6299 | Episode Q0:     0.79
Episode: 117/5000 | Episode reward:     0.40 | Episode steps:   28 | Average reward:    -7.05 | Step Count: 6327 | Episode Q0:     0.79
Episode: 118/5000 | Episode reward:    21.03 | Episode steps:   45 | Average reward:     1.04 | Step Count: 6372 | Episode Q0:     0.79
Episode: 119/5000 | Episode reward:    18.96 | Episode steps:   54 | Average reward:     2.18 | Step Count: 6426 | Episode Q0:     0.79
Episode: 120/5000 | Episode reward:    11.62 | Episode steps:   34 | Average reward:     2.05 | Step Count: 6460 | Episode Q0:     0.79
Episode: 121/5000 | Episode reward:    20.07 | Episode steps:   75 | Average reward:     4.71 | Step Count: 6535 | Episode Q0:     0.79
Episode: 122/5000 | Episode reward:    20.70 | Episode steps:   52 | Average reward:     6.48 | Step Count: 6587 | Episode Q0:     0.79
Episode: 123/5000 | Episode reward:   -17.23 | Episode steps:   57 | Average reward:     5.76 | Step Count: 6644 | Episode Q0:     0.79
Episode: 124/5000 | Episode reward:    20.03 | Episode steps:   58 | Average reward:     6.67 | Step Count: 6702 | Episode Q0:     0.79
Episode: 125/5000 | Episode reward:    19.02 | Episode steps:   51 | Average reward:    11.46 | Step Count: 6753 | Episode Q0:     0.79
Episode: 126/5000 | Episode reward:     6.32 | Episode steps:   49 | Average reward:    12.09 | Step Count: 6802 | Episode Q0:     0.79
Episode: 127/5000 | Episode reward:   -62.26 | Episode steps:   38 | Average reward:     5.83 | Step Count: 6840 | Episode Q0:     0.79
Episode: 128/5000 | Episode reward:   -70.21 | Episode steps:   40 | Average reward:    -3.30 | Step Count: 6880 | Episode Q0:     0.79
Episode: 129/5000 | Episode reward:    -7.28 | Episode steps:   44 | Average reward:    -5.92 | Step Count: 6924 | Episode Q0:     0.79
Episode: 130/5000 | Episode reward:    -3.47 | Episode steps:   53 | Average reward:    -7.43 | Step Count: 6977 | Episode Q0:     0.89
Episode: 131/5000 | Episode reward:   -44.76 | Episode steps:   47 | Average reward:   -13.91 | Step Count: 7024 | Episode Q0:     0.89
Episode: 132/5000 | Episode reward:   -31.59 | Episode steps:   49 | Average reward:   -19.14 | Step Count: 7073 | Episode Q0:     0.89
Episode: 133/5000 | Episode reward:    -1.86 | Episode steps:   34 | Average reward:   -17.61 | Step Count: 7107 | Episode Q0:     0.89
Episode: 134/5000 | Episode reward:     0.43 | Episode steps:   63 | Average reward:   -19.57 | Step Count: 7170 | Episode Q0:     0.89
Episode: 135/5000 | Episode reward:     5.87 | Episode steps:   56 | Average reward:   -20.88 | Step Count: 7226 | Episode Q0:     0.89
Episode: 136/5000 | Episode reward:   -32.67 | Episode steps:   31 | Average reward:   -24.78 | Step Count: 7257 | Episode Q0:     0.89
Episode: 137/5000 | Episode reward:    -8.75 | Episode steps:   62 | Average reward:   -19.43 | Step Count: 7319 | Episode Q0:     0.89
Episode: 138/5000 | Episode reward:     5.86 | Episode steps:   35 | Average reward:   -11.82 | Step Count: 7354 | Episode Q0:     0.89
